recipe_id,method,step_no,instruction
1,method_1,1,"Rinse quinoa thoroughly under running water to remove bitterness."
1,method_1,2,"Wash moong dal and soak for 15 minutes for faster cooking."
1,method_1,3,"Add quinoa and dal to a pressure cooker with 2 cups water and cook for 3 whistles."
1,method_1,4,"Heat olive oil in a pan and add cumin seeds until they crackle."
1,method_1,5,"Add chopped ginger and garlic and sauté until aromatic."
1,method_1,6,"Add chopped carrots and spinach and cook until soft."
1,method_1,7,"Mix cooked quinoa-dal with vegetables, adjust salt, and garnish with coriander."

1,method_2,1,"Pressure cook quinoa and moong dal together with water."
1,method_2,2,"Prepare a separate tempering with olive oil, cumin seeds, garlic, and ginger."
1,method_2,3,"Add sautéed vegetables to cooked quinoa mixture."
1,method_2,4,"Simmer for 5 minutes and serve hot."

2,method_1,1,"Wash brown rice and soak for 20 minutes."
2,method_1,2,"Cook rice in a pressure cooker until grains are separate."
2,method_1,3,"Heat olive oil and sauté onions, capsicum, and peas."
2,method_1,4,"Add turmeric, cumin seeds, and salt."
2,method_1,5,"Mix cooked rice and gently toss."
2,method_1,6,"Garnish with coriander leaves."

2,method_2,1,"Pressure cook soaked brown rice."
2,method_2,2,"Prepare vegetable masala separately."
2,method_2,3,"Mix masala into rice and steam for 5 minutes."

3,method_1,1,"Wash fresh spinach leaves thoroughly in clean water to remove dirt."
3,method_1,2,"Boil water in a pan and blanch spinach for 2 minutes until soft."
3,method_1,3,"Immediately transfer spinach to cold water to retain green color."
3,method_1,4,"Blend blanched spinach into a smooth puree without adding water."
3,method_1,5,"Heat olive oil in a pan and add cumin seeds."
3,method_1,6,"Add finely chopped garlic and sauté until lightly golden."
3,method_1,7,"Pour in spinach puree and cook on low flame for 3 minutes."
3,method_1,8,"Add turmeric powder, salt, and mix well."
3,method_1,9,"Add low-fat paneer cubes and gently mix."
3,method_1,10,"Simmer for 2 minutes and serve hot."

3,method_2,1,"Steam spinach leaves instead of boiling for better nutrition."
3,method_2,2,"Blend spinach with ginger and garlic for enhanced flavor."
3,method_2,3,"Heat olive oil, add spices, and mix spinach puree."
3,method_2,4,"Add paneer cubes and cook for 3 minutes before serving."

4,method_1,1,"Rinse lentils thoroughly and soak them for 20 minutes."
4,method_1,2,"Add lentils to a pressure cooker with turmeric and salt."
4,method_1,3,"Pressure cook for 3 whistles until lentils are soft."
4,method_1,4,"Heat olive oil in a small pan and add cumin seeds."
4,method_1,5,"Add chopped garlic and sauté until fragrant."
4,method_1,6,"Add curry leaves and pour tempering over cooked lentils."
4,method_1,7,"Simmer for 5 minutes and add lemon juice before serving."

4,method_2,1,"Boil lentils in an open pot for slow cooking."
4,method_2,2,"Skim off foam that forms on top while boiling."
4,method_2,3,"Prepare tempering separately and mix before serving."

5,method_1,1,"Soak dried chickpeas overnight in sufficient water."
5,method_1,2,"Pressure cook soaked chickpeas until soft."
5,method_1,3,"Chop cucumber, tomatoes, and carrots into small cubes."
5,method_1,4,"Add cooked chickpeas to a mixing bowl."
5,method_1,5,"Add chopped vegetables and mix gently."
5,method_1,6,"Add lemon juice, salt, and black pepper."
5,method_1,7,"Toss everything well and serve fresh."

5,method_2,1,"Use canned chickpeas for faster preparation."
5,method_2,2,"Rinse canned chickpeas thoroughly before use."
5,method_2,3,"Mix with vegetables and seasoning and chill before serving."

